bias,errors,max-memory,noise_perc,paired_end,quant_method,read_depth,read_length,real-time,stranded,sys-time,user-time
True,True,28.94008636474609,0,False,Cufflinks,10,50,3.6287678782106068,False,2.702783687936272,4.478914945626045
True,True,28.937541961669922,10,False,Cufflinks,10,50,3.915299033422493,False,3.1255170487904564,4.6382586702432285
True,True,28.939289093017575,0,False,Cufflinks,10,75,3.66831601388406,False,2.706683651763288,4.458259886169876
True,True,28.94050216674805,10,False,Cufflinks,10,75,3.85067563635304,False,2.945749160981228,4.5807540739623365
True,True,28.940773010253906,0,False,Cufflinks,10,100,3.680546715943129,False,2.6639646250441325,4.452508022947192
True,True,28.93813323974609,10,False,Cufflinks,10,100,3.823865960830896,False,2.893745122103846,4.5548007468638945
True,True,2.212596893310547,0,False,Salmon,10,50,1.9594707020751068,False,1.2918126874671192,2.7920343002522414
True,True,2.372791290283203,10,False,Salmon,10,50,2.3610664497539418,False,1.3800302479678306,3.2630416133504534
True,True,2.206707000732422,0,False,Salmon,10,75,1.838723190031372,False,1.1541195255158467,2.7034547453120297
True,True,2.257553100585937,10,False,Salmon,10,75,2.3624447739410543,False,1.2571984261393443,3.2759904883669035
True,True,2.1540069580078125,0,False,Salmon,10,100,1.8283376000590044,False,1.0546130545568877,2.6901694897564417
True,True,2.214584350585937,10,False,Salmon,10,100,2.3845505315637183,False,1.3016809492935764,3.2997817784512
True,True,1.4741783142089844,0,False,RSEM,10,50,3.4480180130254308,False,2.982519976338703,4.240591926850098
True,True,2.4926681518554688,10,False,RSEM,10,50,3.8488311516099354,False,3.4250285535201046,4.654026390625869
True,True,1.1844978332519531,0,False,RSEM,10,75,3.250810204025982,False,2.9221803021118813,4.022752424486215
True,True,1.7835426330566406,10,False,RSEM,10,75,3.642594096757588,False,3.3598032409414267,4.425078820331891
True,True,1.0438117980957031,0,False,RSEM,10,100,3.1971288732489107,False,2.9189472610806417,3.955534301347528
True,True,1.554462432861328,10,False,RSEM,10,100,3.6266267225010487,False,3.3709772978099504,4.4136728622734855
True,True,3.804790496826172,0,False,Kallisto,10,50,2.2476296206791138,False,1.5160062303860478,2.29453235734187
True,True,3.8666305541992183,10,False,Kallisto,10,50,2.2824181708776474,False,1.5740312677277188,2.5780429350405094
True,True,3.797943115234375,0,False,Kallisto,10,75,2.163757523981956,False,1.5968169359155906,2.1508485066695227
True,True,3.8194503784179688,10,False,Kallisto,10,75,2.180928319993991,False,1.7950453704211249,2.5430369229082546
True,True,3.7955245971679688,0,False,Kallisto,10,100,2.1592964266883854,False,1.458788881710845,2.178430139947737
True,True,3.809005737304688,10,False,Kallisto,10,100,2.182300499593339,False,1.7613263224214566,2.5550218584761524
True,True,4.198776245117188,0,False,Express,10,50,3.486691119011609,False,2.9950908888423777,3.9846524081402968
True,True,4.189674377441406,10,False,Express,10,50,3.8677596691483176,False,3.3636100998253826,4.415284425234629
True,True,4.1955909729003915,0,False,Express,10,75,3.3470898670394034,False,2.885864212610161,3.846533180899324
True,True,4.185646057128906,10,False,Express,10,75,3.7567425772037186,False,3.3226864270026177,4.331679903468044
True,True,4.1951332092285165,0,False,Express,10,100,3.3346688345007185,False,2.875107585665959,3.81041399634221
True,True,4.197486877441406,10,False,Express,10,100,3.703556174011736,False,3.3421758524655183,4.299892828098346
True,True,3.217937469482422,0,False,Sailfish,10,50,1.7937903846908188,False,1.0257153839013406,2.5417663995115993
True,True,3.312458038330078,10,False,Sailfish,10,50,2.2573665385850155,False,1.2655253352190738,3.1160229786999576
True,True,3.211143493652344,0,False,Sailfish,10,75,1.6324572921847242,False,0.8853612200315121,2.3625013239290125
True,True,3.25259780883789,10,False,Sailfish,10,75,2.2678285420473423,False,1.2662316966898932,3.1252762693691163
True,True,3.210357666015625,0,False,Sailfish,10,100,1.615950051656401,False,0.9052560487484512,2.3329028056857912
True,True,3.24783706665039,10,False,Sailfish,10,100,2.2944882710072565,False,1.2070955404192178,3.1559096560808197
True,True,28.93743896484375,0,False,Cufflinks,10,50,3.603141123522129,True,2.8686914501378786,4.45205736303345
True,True,28.934410095214844,10,False,Cufflinks,10,50,3.9265723971517255,True,2.9296998489136987,4.604214061205603
True,True,28.939861297607425,0,False,Cufflinks,10,75,3.914589592947028,True,2.9754180211640056,4.480124991736228
True,True,28.93747711181641,10,False,Cufflinks,10,75,3.7095964073478593,True,2.9388698215129865,4.5343657895638225
True,True,28.92597961425781,0,False,Cufflinks,10,100,3.877407055618966,True,2.9450005555266032,4.447091486125416
True,True,28.941974639892575,10,False,Cufflinks,10,100,3.8683352093902794,True,2.9836488355776902,4.5472358707048635
True,True,2.2282371520996094,0,False,Salmon,10,50,1.8907003976988752,True,1.3123889493705918,2.7540041280106338
True,True,2.427474975585937,10,False,Salmon,10,50,2.2520273296527864,True,1.2882492255719862,3.1573993419636146
True,True,2.214561462402344,0,False,Salmon,10,75,1.885191540606848,True,1.2276296495710086,2.7234803005135095
True,True,2.2731857299804688,10,False,Salmon,10,75,2.3759195437046494,True,1.2595938788859486,3.2878129229427366
True,True,2.230186462402344,0,False,Salmon,10,100,1.832253370197008,True,1.0707764628434346,2.6903201464432707
True,True,2.210655212402344,10,False,Salmon,10,100,2.348207476685626,True,1.1812717715594616,3.271044281454225
True,True,1.4258995056152344,0,False,RSEM,10,50,3.4232688171901864,True,3.082419116442672,4.206233915142792
True,True,2.4129638671875,10,False,RSEM,10,50,3.7455377401214704,True,3.463567519303153,4.53582368695624
True,True,1.179828643798828,0,False,RSEM,10,75,3.2961845683961872,True,3.008127299834017,4.064345657162171
True,True,1.7741851806640625,10,False,RSEM,10,75,3.663253211226335,True,3.3896001618438514,4.448294085497909
True,True,1.024677276611328,0,False,RSEM,10,100,3.2708115492993244,True,2.9594945401782446,4.039276471625149
True,True,1.4825668334960938,10,False,RSEM,10,100,3.5816106422026226,True,3.3520608986289067,4.365442868336253
True,True,3.7965049743652335,0,False,Kallisto,10,50,2.3443922736851106,True,1.6016254795539446,2.36300994273886
True,True,3.843029022216797,10,False,Kallisto,10,50,2.436512486999693,True,1.7831886910752577,2.642790860423537
True,True,3.7944564819335938,0,False,Kallisto,10,75,2.0861818046497493,True,0.7853298350107671,2.164412344104769
True,True,3.814994812011719,10,False,Kallisto,10,75,2.312790692146442,True,1.1166077439882485,2.5700990789919578
True,True,3.7942047119140634,0,False,Kallisto,10,100,1.971554153446061,True,0.8506462351830666,2.058084224750925
True,True,3.804920196533203,10,False,Kallisto,10,100,2.088384186097703,True,1.1205739312058498,2.4639377593051988
True,True,4.194862365722656,0,False,Express,10,50,3.4508416237174253,True,3.023540521554853,3.9217894456797335
True,True,4.1864280700683585,10,False,Express,10,50,3.854230717065382,True,3.4278121943849933,4.3550754924644695
True,True,4.194908142089844,0,False,Express,10,75,3.29732490428794,True,2.9808983233163686,3.790675642308724
True,True,4.197765350341797,10,False,Express,10,75,3.7346926424020848,True,3.358102437092198,4.284095803163141
True,True,4.195873260498047,0,False,Express,10,100,3.3347050062819785,True,2.950588760169585,3.760592096579792
True,True,4.1860008239746085,10,False,Express,10,100,3.7088354492018127,True,3.325499243601642,4.2409342019824114
True,True,3.2148513793945312,0,False,Sailfish,10,50,1.7423322823571483,True,0.983175072037813,2.503940413960889
True,True,3.2840309143066406,10,False,Sailfish,10,50,2.217246991685393,True,1.281260687055013,3.0676956118812915
True,True,3.211231231689453,0,False,Sailfish,10,75,1.6858312746260635,True,0.9380190974762104,2.4226718983272866
True,True,3.240791320800781,10,False,Sailfish,10,75,2.257822516034476,True,1.351216345339342,3.103926810608236
True,True,3.211986541748047,0,False,Sailfish,10,100,1.6337713460825556,True,0.888179493918325,2.3433888974623542
True,True,3.2337722778320312,10,False,Sailfish,10,100,2.2588048392270133,True,1.2407987711173312,3.115364175222413
True,True,28.984355926513672,0,False,Cufflinks,50,50,3.9801415962051814,False,3.02220559894059,4.686144773810222
True,True,28.93104553222656,10,False,Cufflinks,50,50,4.141980010060717,False,3.246168549188696,4.8202624272603485
True,True,28.98639678955078,0,False,Cufflinks,50,75,3.771219166479848,False,2.8941775538387726,4.584020773834402
True,True,29.003028869628906,10,False,Cufflinks,50,75,4.073761594394654,False,3.3062126538861856,4.745267369416851
True,True,28.984844207763672,0,False,Cufflinks,50,100,3.9303717946787695,False,2.9626202730565043,4.5813396941130735
True,True,28.987194061279297,10,False,Cufflinks,50,100,3.8971606615154055,False,3.1091599107321364,4.682275525704688
True,True,2.472393035888672,0,False,Salmon,50,50,2.332034277027518,False,1.877140889784821,3.2004209139501882
True,True,2.7458457946777344,10,False,Salmon,50,50,2.832119150163121,False,1.7785130117389247,3.765181842515597
True,True,2.312244415283203,0,False,Salmon,50,75,2.2591875829428054,False,1.603577368151467,3.155017032776976
True,True,2.4802169799804688,10,False,Salmon,50,75,2.9117327345572286,False,1.7663384752512874,3.850685436300732
True,True,2.261455535888672,0,False,Salmon,50,100,2.1785453145110067,False,1.4466924663715273,3.0791233362559662
True,True,2.3747482299804688,10,False,Salmon,50,100,2.9311424604222633,False,1.7208205817703441,3.8723451060682335
True,True,4.6775245666503915,0,False,RSEM,50,50,4.165099438181501,False,3.966116848126071,4.920138098315742
True,True,10.603015899658203,10,False,RSEM,50,50,4.494465031434291,False,4.1094084402310695,5.309421166146687
True,True,3.3321685791015625,0,False,RSEM,50,75,3.890079373608207,False,3.6133554779791117,4.685480546114419
True,True,6.680732727050781,10,False,RSEM,50,75,4.426943226408765,False,4.302038341690502,5.190369970436271
True,True,2.609458923339844,0,False,RSEM,50,100,3.895085367303043,False,3.596949885281188,4.6921488446067015
True,True,4.7699012756347665,10,False,RSEM,50,100,4.257069415753402,False,4.0429989694480595,5.049754355256963
True,True,3.815872192382813,0,False,Kallisto,50,50,2.435748836164376,False,1.3445887425787142,2.643541500364444
True,True,3.955482482910156,10,False,Kallisto,50,50,2.654571175691488,False,1.7498908412714218,3.1141704623353097
True,True,3.807441711425781,0,False,Kallisto,50,75,2.30982172568023,False,1.1051694279993316,2.5277458690761883
True,True,3.889926910400391,10,False,Kallisto,50,75,2.5240584226362333,False,1.5921767573958667,3.089233731365398
True,True,3.801483154296875,0,False,Kallisto,50,100,2.256140226634533,False,1.1176026916900843,2.4503261040614124
True,True,3.8450660705566406,10,False,Kallisto,50,100,2.489663227495498,False,1.5726392970428134,3.0744763294999773
True,True,4.195259094238281,0,False,Express,50,50,4.111445336007336,False,3.622478250668609,4.577559466377585
True,True,4.199790954589844,10,False,Express,50,50,4.559103574828726,False,4.0806528179318615,5.064638670556229
True,True,4.1960411071777335,0,False,Express,50,75,3.96348513192376,False,3.5679234517129235,4.466920829285233
True,True,4.1861114501953125,10,False,Express,50,75,4.416552641175869,False,3.985844399263645,4.975944570617316
True,True,4.196624755859375,0,False,Express,50,100,3.878592448776624,False,3.562945600181109,4.412939435280566
True,True,4.187110900878906,10,False,Express,50,100,4.346958803318134,False,3.9717673996761023,4.916016064318024
True,True,3.238487243652344,0,False,Sailfish,50,50,2.269232663806831,False,1.3384564936046048,3.1119644812354377
True,True,3.49539566040039,10,False,Sailfish,50,50,2.806010294559223,False,1.7801732436425939,3.6899753314335695
True,True,3.230449676513672,0,False,Sailfish,50,75,2.091139153825755,False,1.2652896258608302,2.9078465121650057
True,True,3.337200164794922,10,False,Sailfish,50,75,2.7980011348585343,False,1.7965049515532965,3.6814664692236136
True,True,3.22488784790039,0,False,Sailfish,50,100,2.024321442141565,False,1.2105860249051563,2.7908689925347603
True,True,3.3040924072265625,10,False,Sailfish,50,100,2.860475760901928,False,1.77342072329061,3.747137470895925
True,True,28.98004913330078,0,False,Cufflinks,50,50,3.918300375589704,True,3.051750471907344,4.603506927534436
True,True,28.988880157470703,10,False,Cufflinks,50,50,4.036887877979116,True,3.0684419086393366,4.759775913921504
True,True,28.96581268310547,0,False,Cufflinks,50,75,3.9394868041175686,True,2.8801158751895968,4.578576639554021
True,True,28.99541091918945,10,False,Cufflinks,50,75,3.955597804047302,True,2.990010123128433,4.701626002232568
True,True,28.971820831298828,0,False,Cufflinks,50,100,3.7387758034092657,True,3.126816253211296,4.518099583263234
True,True,28.979999542236328,10,False,Cufflinks,50,100,3.9825222369880784,True,3.1999333549740787,4.656827549107312
True,True,2.599353790283203,0,False,Salmon,50,50,2.2811015756841533,True,1.974143099902215,3.166980404282484
True,True,2.7240028381347656,10,False,Salmon,50,50,2.8681858070097017,True,1.810635700275537,3.799757409900311
True,True,2.2731704711914062,0,False,Salmon,50,75,2.240973351840004,True,1.6927588181547242,3.1334175444265804
True,True,2.420124053955078,10,False,Salmon,50,75,2.9399184203690565,True,1.8028421127390744,3.8790080938044817
True,True,2.236114501953125,0,False,Salmon,50,100,2.2006590162517194,True,1.6105537053170946,3.083151315577333
True,True,2.376598358154297,10,False,Salmon,50,100,2.9788102666353633,True,2.076021141783545,3.9103014984360582
True,True,4.548393249511719,0,False,RSEM,50,50,4.076971226036267,True,3.75080990498281,4.874979724186911
True,True,9.36835479736328,10,False,RSEM,50,50,4.39979084407866,True,4.2136694015572616,5.160106087682777
True,True,3.239830017089844,0,False,RSEM,50,75,3.9029862868046874,True,3.6658763608804135,4.693197472755856
True,True,6.4140625,10,False,RSEM,50,75,4.253436146728052,True,4.0651788436368665,5.0428004368387445
True,True,2.4670486450195312,0,False,RSEM,50,100,3.82874945248348,True,3.638338475687024,4.610735306565209
True,True,4.771625518798828,10,False,RSEM,50,100,4.221573058852206,True,4.07755648260954,5.001055138534631
True,True,3.809516906738281,0,False,Kallisto,50,50,2.3138461376010286,True,1.2857822737793947,2.594182535351007
True,True,3.935585021972656,10,False,Kallisto,50,50,2.7120432861478547,True,1.4766867429456447,3.0767787551752304
True,True,3.801708221435547,0,False,Kallisto,50,75,2.3153194652587508,True,1.5608626947274649,2.5602773518540425
True,True,3.87954330444336,10,False,Kallisto,50,75,2.5444277393536354,True,1.6681062379327314,3.089491805450633
True,True,3.796833038330078,0,False,Kallisto,50,100,2.250932070200113,True,1.1522883443830565,2.456654454648449
True,True,3.83755874633789,10,False,Kallisto,50,100,2.556869126540601,True,1.4220971631317103,3.0719445706486406
True,True,4.184593200683594,0,False,Express,50,50,4.100873139623214,True,3.7105243783172916,4.513026255199314
True,True,4.187126159667969,10,False,Express,50,50,4.5579651951429865,True,4.185307804920294,5.004187710914079
True,True,4.196372985839844,0,False,Express,50,75,3.912876990963985,True,3.6162118113178776,4.416443449356012
True,True,4.188976287841797,10,False,Express,50,75,4.405367024108919,True,4.059204323391156,4.89231536861016
True,True,4.19732666015625,0,False,Express,50,100,3.8152661930024463,True,3.5912683435643267,4.336549185296317
True,True,4.196033477783203,10,False,Express,50,100,4.3028748632529314,True,4.007606545339853,4.852592029600712
True,True,3.23074722290039,0,False,Sailfish,50,50,2.097847077423337,True,1.2893659515200318,2.930826820919488
True,True,3.309375762939453,10,False,Sailfish,50,50,2.7437057017865256,True,1.7972675408307164,3.6227278240772103
True,True,3.223926544189453,0,False,Sailfish,50,75,2.0434015789108813,True,1.2445245115700838,2.8775556227291856
True,True,3.2839126586914062,10,False,Sailfish,50,75,2.8717130079489324,True,2.024731889655249,3.7538472317871783
True,True,3.2209205627441406,0,False,Sailfish,50,100,1.9974737588029805,True,1.2385478876813278,2.8116755253669115
True,True,3.2794723510742188,10,False,Sailfish,50,100,2.8853103231646173,True,1.9712294472762413,3.7695973719461056
True,True,28.963008880615234,0,False,Cufflinks,30,50,3.949031199539332,False,2.7939788638986345,4.5916915427849405
True,True,28.97450256347656,10,False,Cufflinks,30,50,4.034967178458964,False,3.004033181844175,4.747059568016042
True,True,28.95541381835937,0,False,Cufflinks,30,75,3.7884603960998486,False,2.940531425999473,4.534432907815332
True,True,28.959014892578125,10,False,Cufflinks,30,75,3.9366142619752114,False,2.9192978002647885,4.668097658270503
True,True,28.96474456787109,0,False,Cufflinks,30,100,3.6011937963391567,False,2.6970636164614015,4.44889977741253
True,True,28.970672607421875,10,False,Cufflinks,30,100,3.9935147050496473,False,2.8772042773999686,4.653576782291088
True,True,2.350971221923828,0,False,Salmon,30,50,2.2014517491217194,False,1.8740757452230348,3.0502791955858686
True,True,2.529937744140625,10,False,Salmon,30,50,2.720374329337824,False,2.058084224750925,3.6215543066574885
True,True,2.22723388671875,0,False,Salmon,30,75,2.2834595363769936,False,2.1407907766253023,3.050306271904581
True,True,2.3729286193847656,10,False,Salmon,30,75,2.848773942563041,False,2.3315285188686907,3.7375329453109782
True,True,2.179901123046875,0,False,Salmon,30,100,2.259522207216192,False,1.9911817576678728,3.04373549295878
True,True,2.297657012939453,10,False,Salmon,30,100,2.8336697363505494,False,2.2513948500401044,3.7395739265764703
True,True,2.981597900390625,0,False,RSEM,30,50,3.84469023221363,False,3.4207839158888595,4.653982654970252
True,True,6.3200416564941415,10,False,RSEM,30,50,4.2901441733799395,False,3.900522245144056,5.091587194815221
True,True,2.21728515625,0,False,RSEM,30,75,3.638268559323248,False,3.335070574049274,4.437920126464545
True,True,4.196578979492188,10,False,RSEM,30,75,4.149240980834033,False,3.8560839162645903,4.947361856380353
True,True,1.8267974853515625,0,False,RSEM,30,100,3.618250022858224,False,3.355254155783025,4.404671424306621
True,True,3.3746337890625,10,False,RSEM,30,100,4.123506680714443,False,3.852522689029299,4.879450742968498
True,True,3.812488555908203,0,False,Kallisto,30,50,2.071550639366932,False,1.196452541703389,2.3344939617413862
True,True,3.918682098388672,10,False,Kallisto,30,50,2.635534009471285,False,2.1037011195895143,2.9777281767856496
True,True,3.805015563964844,0,False,Kallisto,30,75,2.2656195831538843,False,1.0565237240791003,2.4256157245769305
True,True,3.8723220825195312,10,False,Kallisto,30,75,2.4369573306694496,False,1.5514499979728753,3.0262880620239425
True,True,3.800579071044922,0,False,Kallisto,30,100,2.2232622468766308,False,0.9334872878487056,2.347622699467242
True,True,3.829639434814453,10,False,Kallisto,30,100,2.3629534589442853,False,1.3763944420372662,2.86427369680438
True,True,4.1960716247558585,0,False,Express,30,50,3.8698545441891414,False,3.388830927901515,4.363982194402909
True,True,4.1858787536621085,10,False,Express,30,50,4.3670419226028185,False,3.884764786729141,4.857389795395352
True,True,4.184417724609375,0,False,Express,30,75,3.7854145497697536,False,3.401951675984828,4.282305055085108
True,True,4.185802459716797,10,False,Express,30,75,4.217251995352618,False,3.8103817390668975,4.768118264558918
True,True,4.185535430908203,0,False,Express,30,100,3.673740446593426,False,3.3161360590743034,4.222135636632964
True,True,4.1927223205566415,10,False,Express,30,100,4.152605997176146,False,3.7564124384385567,4.739863595870366
True,True,3.214984893798828,0,False,Sailfish,30,50,2.106190897263416,False,1.4519398693651029,2.8312489100119262
True,True,3.3634796142578125,10,False,Sailfish,30,50,2.6960941599952237,False,1.7667845154978592,3.5696173272408345
True,True,3.1960105895996094,0,False,Sailfish,30,75,2.135482491335712,False,2.059563417901268,2.738106403558114
True,True,3.2880592346191406,10,False,Sailfish,30,75,2.687751847789659,False,1.6844862921887342,3.5671063913731413
True,True,3.1961593627929688,0,False,Sailfish,30,100,2.14091637693907,False,2.07838430874819,2.6955342089357073
True,True,3.2802772521972656,10,False,Sailfish,30,100,2.6942892334908186,False,1.683677298818692,3.571624992074037
True,True,28.96060943603516,0,False,Cufflinks,30,50,3.8068146656584303,True,2.781755374652469,4.5653614434431615
True,True,28.950740814208984,10,False,Cufflinks,30,50,3.9260418355285007,True,3.0760357237424465,4.678422495900958
True,True,28.953479766845703,0,False,Cufflinks,30,75,3.7334612936763434,True,2.929694742840747,4.5016487900010045
True,True,28.96882247924805,10,False,Cufflinks,30,75,4.008307137037574,True,2.9090154991290422,4.676373576707282
True,True,28.95470428466797,0,False,Cufflinks,30,100,3.702359871673997,True,2.9367298306410645,4.488642782811514
True,True,28.968189239501953,10,False,Cufflinks,30,100,3.8635381692091184,True,3.2029294712547496,4.619442087709299
True,True,2.230621337890625,0,False,Salmon,30,50,2.2566455980444524,True,2.106462883796121,3.0586044129955177
True,True,2.520313262939453,10,False,Salmon,30,50,2.7137928479390605,True,2.2386732432838445,3.621247965617683
True,True,2.2434310913085938,0,False,Salmon,30,75,2.159085713714345,True,1.8098289610678864,2.9750363976024614
True,True,2.370342254638672,10,False,Salmon,30,75,2.8052017104399485,True,2.2002210261918758,3.7231255156049867
True,True,2.19009017944336,0,False,Salmon,30,100,2.1607385681125817,True,1.817036226050029,2.979989728610864
True,True,2.3342208862304688,10,False,Salmon,30,100,2.8510380872206165,True,2.4241626599748827,3.767278342126138
True,True,2.885814666748047,0,False,RSEM,30,50,3.88156324576607,True,3.5149645815155024,4.681465293617644
True,True,6.046489715576173,10,False,RSEM,30,50,4.183763092874685,True,3.917594249902169,4.980174236256974
True,True,2.101112365722656,0,False,RSEM,30,75,3.688781879760125,True,3.4492222210386165,4.468183774451147
True,True,4.037120819091797,10,False,RSEM,30,75,4.088671093453219,True,3.8868233688438667,4.866395515161104
True,True,1.754474639892578,0,False,RSEM,30,100,3.6155250132969767,True,3.4061005541685154,4.397803966334963
True,True,3.14501953125,10,False,RSEM,30,100,3.9380286147827177,True,3.8122011982563775,4.713050397461885
True,True,3.8029556274414062,0,False,Kallisto,30,50,2.2130127788080096,True,1.0633333589517495,2.4141540976802074
True,True,3.903705596923828,10,False,Kallisto,30,50,2.516746850913505,True,1.2598326990634836,2.8644102086042738
True,True,3.7979888916015625,0,False,Kallisto,30,75,2.1800398109271764,True,1.0696680969115957,2.3686029585591823
True,True,3.844551086425781,10,False,Kallisto,30,75,2.5055704974431707,True,1.4811558708280352,2.9128223180928736
True,True,3.794143676757813,0,False,Kallisto,30,100,2.1947640241108863,True,1.2166935991697545,2.3462160131550056
True,True,3.821269989013672,10,False,Kallisto,30,100,2.4832734075829817,True,1.9750639960952359,2.9736726898789043
True,True,4.196769714355469,0,False,Express,30,50,3.852007013950942,True,3.502185322738084,4.314509753644967
True,True,4.196521759033203,10,False,Express,30,50,4.338620817076354,True,3.939883009062978,4.795244927368326
True,True,4.195201873779297,0,False,Express,30,75,3.6988796616878217,True,3.4184454796711936,4.204491688192322
True,True,4.189311981201172,10,False,Express,30,75,4.184420266945415,True,3.836305755930959,4.692806659281737
