bias,error-frac,errors,expressed-tpms,log-tpm-rho,median-percent-error,noise_perc,paired_end,quant_method,read_depth,read_length,sensitivity,specificity,stranded
True,0.69315,True,10458,0.98463,-5.47998,0,False,Kallisto,10,75,0.93727,0.94149,True
True,0.85559,True,10560,0.88309,-2.66588,10,False,Kallisto,10,75,0.98106,0.45491,True
True,0.67949,True,10633,0.98350,-4.50947,0,False,Kallisto,10,100,0.92599,0.95243,True
True,0.85621,True,10557,0.88910,-2.70500,10,False,Kallisto,10,100,0.97850,0.45659,True
True,0.80661,True,10471,0.98338,-18.38612,0,False,Express,10,50,0.91118,0.95827,True
True,0.88337,True,10503,0.87009,-8.46239,10,False,Express,10,50,0.97962,0.38135,True
True,0.80417,True,10458,0.98121,-16.45339,0,False,Express,10,75,0.89625,0.96323,True
True,0.87888,True,10560,0.86634,-6.49985,10,False,Express,10,75,0.97377,0.40771,True
True,0.79968,True,10633,0.97868,-14.81738,0,False,Express,10,100,0.88047,0.96329,True
True,0.88008,True,10557,0.87595,-6.05073,10,False,Express,10,100,0.97158,0.41146,True
True,0.77213,True,10471,0.98604,-11.51331,0,False,Sailfish,10,50,0.94824,0.94525,True
True,0.87546,True,10503,0.88116,-6.76696,10,False,Sailfish,10,50,0.98591,0.44817,True
True,0.75263,True,10458,0.98681,-9.26090,0,False,Sailfish,10,75,0.93919,0.95396,True
True,0.86316,True,10560,0.87885,-3.88189,10,False,Sailfish,10,75,0.98324,0.45717,True
True,0.75708,True,10633,0.98568,-8.09414,0,False,Sailfish,10,100,0.92834,0.95960,True
True,0.86758,True,10557,0.88586,-4.20953,10,False,Sailfish,10,100,0.98020,0.45228,True
True,0.80682,True,10591,0.96904,-4.16247,0,False,Cufflinks,50,50,0.97130,0.96314,False
True,0.83062,True,10491,0.89203,-0.08139,10,False,Cufflinks,50,50,0.97932,0.65283,False
True,0.81698,True,10578,0.97067,-2.52655,0,False,Cufflinks,50,75,0.96691,0.96232,False
True,0.84034,True,10560,0.90372,0.93525,10,False,Cufflinks,50,75,0.97898,0.65058,False
True,0.82473,True,10407,0.97228,-4.08041,0,False,Cufflinks,50,100,0.96695,0.96046,False
True,0.83435,True,10516,0.90502,2.88588,10,False,Cufflinks,50,100,0.97965,0.65834,False
True,0.93136,True,10591,0.98573,-38.39313,0,False,Salmon,50,50,0.96516,0.94897,False
True,0.93938,True,10491,0.86829,-32.30213,10,False,Salmon,50,50,0.98599,0.45455,False
True,0.92995,True,10578,0.98636,-38.10942,0,False,Salmon,50,75,0.96341,0.94894,False
True,0.93134,True,10560,0.88515,-28.51137,10,False,Salmon,50,75,0.98598,0.44359,False
True,0.86903,True,10407,0.98773,-28.10299,0,False,Salmon,50,100,0.96916,0.95029,False
True,0.93600,True,10516,0.87950,-29.88864,10,False,Salmon,50,100,0.98849,0.44418,False
True,0.73496,True,10591,0.99101,-2.15657,0,False,RSEM,50,50,0.97809,0.96130,False
True,0.79430,True,10491,0.88806,-0.10246,10,False,RSEM,50,50,0.99133,0.43487,False
True,0.73918,True,10578,0.98956,-4.00171,0,False,RSEM,50,75,0.97570,0.96070,False
True,0.80795,True,10560,0.90609,-4.70402,10,False,RSEM,50,75,0.99025,0.44790,False
True,0.75497,True,10407,0.98985,-16.50046,0,False,RSEM,50,100,0.97415,0.95866,False
True,0.85004,True,10516,0.91026,-12.12515,10,False,RSEM,50,100,0.99011,0.47196,False
True,0.67661,True,10591,0.99132,-7.19893,0,False,Kallisto,50,50,0.98197,0.91654,False
True,0.84425,True,10491,0.88602,-3.96253,10,False,Kallisto,50,50,0.99190,0.42631,False
True,0.67083,True,10578,0.98927,-6.03478,0,False,Kallisto,50,75,0.97608,0.93199,False
True,0.83816,True,10560,0.89806,-3.42081,10,False,Kallisto,50,75,0.99157,0.41644,False
True,0.67435,True,10407,0.99156,-5.98452,0,False,Kallisto,50,100,0.97377,0.93640,False
True,0.83549,True,10516,0.89258,-2.66482,10,False,Kallisto,50,100,0.99163,0.41791,False
True,0.82202,True,10591,0.98263,-19.67056,0,False,Express,50,50,0.95147,0.95124,False
True,0.90039,True,10491,0.85121,-6.13750,10,False,Express,50,50,0.99037,0.30503,False
True,0.81660,True,10578,0.98202,-16.57575,0,False,Express,50,75,0.94385,0.95110,False
True,0.88731,True,10560,0.86790,-2.51887,10,False,Express,50,75,0.99015,0.30514,False
True,0.80888,True,10407,0.98334,-13.92768,0,False,Express,50,100,0.93879,0.94817,False
True,0.88246,True,10516,0.86292,0.38690,10,False,Express,50,100,0.98973,0.30938,False
True,0.73647,True,10591,0.98996,-11.12039,0,False,Sailfish,50,50,0.97876,0.94076,False
True,0.87065,True,10491,0.87222,-6.90912,10,False,Sailfish,50,50,0.98980,0.43829,False
True,0.73142,True,10578,0.99028,-10.32978,0,False,Sailfish,50,75,0.97665,0.94667,False
True,0.86714,True,10560,0.88783,-6.87063,10,False,Sailfish,50,75,0.98996,0.42851,False
True,0.73201,True,10407,0.99138,-8.71517,0,False,Sailfish,50,100,0.97665,0.94541,False
True,0.86725,True,10516,0.88277,-6.10948,10,False,Sailfish,50,100,0.99125,0.42552,False
True,0.66717,True,10546,0.97561,-1.91641,0,False,Cufflinks,50,50,0.97430,0.96643,True
True,0.81734,True,10659,0.89359,-1.60205,10,False,Cufflinks,50,50,0.97927,0.66511,True
True,0.81670,True,10524,0.96944,-1.08810,0,False,Cufflinks,50,75,0.96646,0.96522,True
True,0.82451,True,10582,0.90047,0.29912,10,False,Cufflinks,50,75,0.97959,0.67642,True
True,0.66917,True,10537,0.98087,-4.20630,0,False,Cufflinks,50,100,0.96697,0.96593,True
True,0.85231,True,10610,0.90221,0.31005,10,False,Cufflinks,50,100,0.97757,0.67945,True
True,0.89332,True,10546,0.98401,-32.40080,0,False,Salmon,50,50,0.96795,0.94728,True
True,0.93930,True,10659,0.87502,-36.02633,10,False,Salmon,50,50,0.98527,0.45676,True
True,0.90897,True,10524,0.98805,-34.75084,0,False,Salmon,50,75,0.96522,0.94859,True
True,0.93574,True,10582,0.88237,-30.44333,10,False,Salmon,50,75,0.98743,0.45016,True
True,0.85167,True,10537,0.98631,-25.54094,0,False,Salmon,50,100,0.96925,0.95572,True
True,0.94006,True,10610,0.88347,-32.63719,10,False,Salmon,50,100,0.98652,0.45174,True
True,0.73137,True,10546,0.99150,-1.92153,0,False,RSEM,50,50,0.98009,0.96181,True
True,0.80814,True,10659,0.88937,-2.50166,10,False,RSEM,50,50,0.99193,0.45491,True
True,0.73233,True,10524,0.99104,-5.85475,0,False,RSEM,50,75,0.97339,0.95750,True
True,0.78652,True,10582,0.90049,-1.77435,10,False,RSEM,50,75,0.99235,0.47543,True
True,0.74177,True,10537,0.98974,-6.02196,0,False,RSEM,50,100,0.97314,0.95798,True
True,0.81074,True,10610,0.90995,-6.06425,10,False,RSEM,50,100,0.98869,0.49063,True
True,0.55547,True,10546,0.99008,-3.59434,0,False,Kallisto,50,50,0.98312,0.91146,True
True,0.86706,True,10659,0.88266,-4.73030,10,False,Kallisto,50,50,0.99306,0.42932,True
True,0.57868,True,10524,0.98979,-3.70574,0,False,Kallisto,50,75,0.97567,0.92991,True
True,0.85702,True,10582,0.88861,-5.05136,10,False,Kallisto,50,75,0.99168,0.42316,True
True,0.58119,True,10537,0.99105,-4.16933,0,False,Kallisto,50,100,0.97390,0.94024,True
True,0.85702,True,10610,0.89108,-4.72628,10,False,Kallisto,50,100,0.98982,0.42422,True
True,0.76683,True,10546,0.99062,-14.82786,0,False,Express,50,50,0.94908,0.94653,True
True,0.88564,True,10659,0.86979,-7.16989,10,False,Express,50,50,0.99127,0.35178,True
True,0.76416,True,10524,0.99045,-13.38280,0,False,Express,50,75,0.94660,0.94709,True
True,0.87224,True,10582,0.87377,-5.76338,10,False,Express,50,75,0.99027,0.35749,True
True,0.74870,True,10537,0.98922,-12.23021,0,False,Express,50,100,0.94069,0.94873,True
True,0.86730,True,10610,0.88044,-4.58160,10,False,Express,50,100,0.98709,0.36150,True
True,0.72852,True,10546,0.99040,-9.15679,0,False,Sailfish,50,50,0.98066,0.93556,True
True,0.88010,True,10659,0.87859,-7.78528,10,False,Sailfish,50,50,0.99156,0.43662,True
True,0.72415,True,10524,0.99213,-9.54146,0,False,Sailfish,50,75,0.97472,0.93753,True
True,0.86430,True,10582,0.88320,-6.78290,10,False,Sailfish,50,75,0.99225,0.42974,True
True,0.70789,True,10537,0.99149,-7.88282,0,False,Sailfish,50,100,0.97646,0.94733,True
True,0.86720,True,10610,0.88404,-7.05511,10,False,Sailfish,50,100,0.99020,0.42801,True
True,0.79430,True,10520,0.96871,-1.89250,0,False,Cufflinks,30,50,0.96816,0.95762,False
True,0.84313,True,10518,0.89259,0.68099,10,False,Cufflinks,30,50,0.97946,0.65601,False
True,0.83311,True,10546,0.97039,-3.89168,0,False,Cufflinks,30,75,0.96122,0.96439,False
True,0.83741,True,10542,0.89935,3.86463,10,False,Cufflinks,30,75,0.97951,0.65394,False
True,0.82044,True,10442,0.97303,-2.17256,0,False,Cufflinks,30,100,0.95748,0.96244,False
True,0.85010,True,10594,0.90629,2.44119,10,False,Cufflinks,30,100,0.97338,0.66324,False
True,0.93099,True,10520,0.98409,-37.71849,0,False,Salmon,30,50,0.96692,0.93327,False
True,0.94552,True,10518,0.87506,-36.30473,10,False,Salmon,30,50,0.98574,0.46444,False
True,0.86630,True,10546,0.98651,-27.83492,0,False,Salmon,30,75,0.96605,0.94761,False
True,0.93303,True,10542,0.87928,-28.43554,10,False,Salmon,30,75,0.98795,0.44489,False
True,0.86947,True,10442,0.98583,-27.31562,0,False,Salmon,30,100,0.96074,0.95170,False
True,0.93676,True,10594,0.87629,-30.71942,10,False,Salmon,30,100,0.98480,0.44804,False
True,0.75428,True,10520,0.98982,-2.31747,0,False,RSEM,30,50,0.97633,0.94936,False
True,0.79141,True,10518,0.89419,-0.52289,10,False,RSEM,30,50,0.99211,0.44331,False
True,0.74881,True,10546,0.99031,-1.38942,0,False,RSEM,30,75,0.97203,0.96159,False
True,0.78135,True,10542,0.90136,0.50978,10,False,RSEM,30,75,0.99127,0.45231,False
True,0.78797,True,10442,0.98885,-21.02626,0,False,RSEM,30,100,0.96275,0.95978,False
True,0.89437,True,10594,0.90634,-18.53924,10,False,RSEM,30,100,0.98650,0.47659,False
True,0.67776,True,10520,0.98911,-5.15699,0,False,Kallisto,30,50,0.97738,0.91063,False
True,0.84389,True,10518,0.89207,-4.30668,10,False,Kallisto,30,50,0.99144,0.43452,False
True,0.67571,True,10546,0.99057,-4.11286,0,False,Kallisto,30,75,0.96909,0.92878,False
True,0.83286,True,10542,0.89308,-1.08742,10,False,Kallisto,30,75,0.99089,0.42370,False
True,0.68847,True,10442,0.98855,-4.88313,0,False,Kallisto,30,100,0.96342,0.93978,False
True,0.83708,True,10594,0.88933,-3.04783,10,False,Kallisto,30,100,0.98839,0.42349,False
True,0.83726,True,10520,0.97938,-18.30987,0,False,Express,30,50,0.94344,0.94754,False
True,0.88848,True,10518,0.85717,-5.16294,10,False,Express,30,50,0.98907,0.31417,False
True,0.81927,True,10546,0.98304,-16.22431,0,False,Express,30,75,0.93410,0.95417,False
True,0.88968,True,10542,0.85658,-1.25220,10,False,Express,30,75,0.98976,0.31240,False
True,0.82695,True,10442,0.98103,-15.97427,0,False,Express,30,100,0.92636,0.94893,False
True,0.88295,True,10594,0.85891,-1.90534,10,False,Express,30,100,0.98584,0.32237,False
True,0.74316,True,10520,0.98850,-9.99586,0,False,Sailfish,30,50,0.97548,0.92908,False
True,0.87973,True,10518,0.87939,-8.56163,10,False,Sailfish,30,50,0.98973,0.44535,False
