"","bias","errors","noise_perc","paired_end","read_depth","read_length","stranded","Cufflinks","Express","RSEM","Kallisto","Sailfish","Salmon"
"56","True","True",10,"True",10,100,"True",0.74798,0.59118,0.63097,0.48204,0.48711,0.4801
"57","True","True",10,"True",10,50,"False",0.69806,0.52695,0.53488,0.44327,0.44852,0.43791
"58","True","True",10,"True",10,50,"True",0.72443,0.55499,0.56536,0.4555,0.46042,0.45454
"59","True","True",10,"True",10,75,"False",0.71399,0.54312,0.56621,0.45323,0.45742,0.45097
"60","True","True",10,"True",10,75,"True",0.73407,0.57151,0.59052,0.45847,0.46556,0.45686
"61","True","True",10,"True",30,100,"False",0.69135,0.53526,0.57585,0.45406,0.45919,0.45278
"62","True","True",10,"True",30,100,"True",0.69737,0.53827,0.57531,0.44026,0.44627,0.43757
"63","True","True",10,"True",30,50,"False",0.67334,0.50264,0.51791,0.42519,0.43573,0.42541
"64","True","True",10,"True",30,50,"True",0.69232,0.52292,0.5397,0.43978,0.44843,0.43721
"65","True","True",10,"True",30,75,"False",0.68214,0.5119,0.53462,0.43814,0.44395,0.43663
"66","True","True",10,"True",30,75,"True",0.69134,0.52629,0.55114,0.42765,0.43322,0.42819
"67","True","True",10,"True",50,100,"False",0.66931,0.50803,0.54551,0.43039,0.44121,0.43125
"68","True","True",10,"True",50,100,"True",0.68886,0.53073,0.56763,0.43205,0.44672,0.43333
"69","True","True",10,"True",50,50,"False",0.66271,0.48902,0.50812,0.42653,0.43629,0.42281
"70","True","True",10,"True",50,50,"True",0.6868,0.52208,0.5329,0.42987,0.43842,0.42955
"71","True","True",10,"True",50,75,"False",0.67045,0.5022,0.52479,0.42615,0.43429,0.42605
"72","True","True",10,"True",50,75,"True",0.6946,0.52154,0.54987,0.42565,0.43271,0.42565
