"","bias","errors","noise_perc","paired_end","read_depth","read_length","stranded","Cufflinks","Express","RSEM","Kallisto","Sailfish","Salmon"
"50","True","True",10,"False",50,100,"True",-23.00648,-34.22098,-26.66777,-31.45017,-33.80871,-55.47468
"51","True","True",10,"False",50,50,"False",-22.80173,-42.92143,-25.34251,-32.84244,-39.00257,-59.63781
"52","True","True",10,"False",50,50,"True",-26.83128,-39.67367,-27.95467,-34.16138,-39.33536,-61.79535
"53","True","True",10,"False",50,75,"False",-21.17883,-37.90569,-26.90917,-30.70162,-35.11612,-54.28119
"54","True","True",10,"False",50,75,"True",-23.00656,-36.06615,-24.43404,-31.8141,-34.23326,-55.48878
"55","True","True",10,"True",10,100,"False",-22.2838,-32.93337,-29.41931,-32.74499,-41.19796,-35.00695
"56","True","True",10,"True",10,100,"True",-22.41858,-35.62353,-30.65034,-33.04531,-40.94209,-34.6889
"57","True","True",10,"True",10,50,"False",-18.79444,-29.47673,-34.00133,-34.98574,-44.75812,-36.96091
"58","True","True",10,"True",10,50,"True",-19.03116,-28.08474,-28.95223,-32.85558,-39.27141,-35.11665
"59","True","True",10,"True",10,75,"False",-21.05918,-31.43358,-29.08261,-33.16463,-40.25398,-35.80652
"60","True","True",10,"True",10,75,"True",-21.86776,-35.22521,-28.84031,-34.25242,-44.97398,-36.32368
"61","True","True",10,"True",30,100,"False",-16.18436,-25.63624,-25.29978,-29.57754,-38.37869,-31.51449
"62","True","True",10,"True",30,100,"True",-17.6329,-25.99165,-24.22782,-31.48185,-41.67301,-33.20735
"63","True","True",10,"True",30,50,"False",-15.34135,-25.86461,-33.89004,-33.92495,-46.17026,-35.34524
"64","True","True",10,"True",30,50,"True",-15.09829,-24.62559,-32.29564,-32.70821,-44.64545,-34.30096
"65","True","True",10,"True",30,75,"False",-17.11945,-25.14327,-26.19378,-30.84357,-39.06055,-32.66959
"66","True","True",10,"True",30,75,"True",-14.66348,-23.98505,-22.4617,-29.11346,-35.7495,-31.41468
"67","True","True",10,"True",50,100,"False",-16.57492,-24.86508,-22.96448,-30.9932,-42.75864,-33.31413
"68","True","True",10,"True",50,100,"True",-14.4531,-23.06589,-21.12014,-30.5422,-45.56005,-31.7514
"69","True","True",10,"True",50,50,"False",-15.89427,-25.09162,-30.19148,-32.51456,-43.793,-34.23758
"70","True","True",10,"True",50,50,"True",-14.17453,-22.9825,-24.94357,-31.6187,-40.14399,-32.99667
"71","True","True",10,"True",50,75,"False",-15.15376,-24.69053,-22.8988,-30.4837,-39.77643,-32.37073
"72","True","True",10,"True",50,75,"True",-16.51405,-23.27895,-23.31871,-29.24034,-39.87392,-30.73521
