bias,error-frac,errors,expressed-tpms,log-tpm-rho,median-percent-error,noise_perc,paired_end,quant_method,read_depth,read_length,sensitivity,specificity,stranded
True,0.67931,True,10546,0.99150,-7.18716,0,False,Kallisto,10,75,0.95761,0.98128,True
True,0.82624,True,10543,0.91009,-6.94308,10,False,Kallisto,10,75,0.98264,0.52119,True
True,0.68007,True,10521,0.99185,-6.30472,0,False,Kallisto,10,100,0.94744,0.98680,True
True,0.82323,True,10607,0.91664,-8.41954,10,False,Kallisto,10,100,0.97700,0.54538,True
True,0.80379,True,10565,0.98606,-21.92743,0,False,Express,10,50,0.92778,0.98534,True
True,0.88516,True,10484,0.88073,-12.93237,10,False,Express,10,50,0.97892,0.42610,True
True,0.78001,True,10546,0.98604,-18.47188,0,False,Express,10,75,0.91912,0.98451,True
True,0.87006,True,10543,0.88531,-10.94005,10,False,Express,10,75,0.97439,0.44913,True
True,0.76267,True,10521,0.98534,-14.86047,0,False,Express,10,100,0.91427,0.98369,True
True,0.86424,True,10607,0.89501,-11.14074,10,False,Express,10,100,0.97040,0.47379,True
True,0.75050,True,10565,0.98778,-12.22335,0,False,Sailfish,10,50,0.96621,0.98135,True
True,0.87381,True,10484,0.89292,-10.37629,10,False,Sailfish,10,50,0.98607,0.49717,True
True,0.71752,True,10546,0.98849,-10.31468,0,False,Sailfish,10,75,0.95638,0.98225,True
True,0.86000,True,10543,0.89512,-9.20700,10,False,Sailfish,10,75,0.98188,0.50946,True
True,0.68111,True,10521,0.98896,-6.97519,0,False,Sailfish,10,100,0.94639,0.98509,True
True,0.84802,True,10607,0.90511,-8.55745,10,False,Sailfish,10,100,0.97709,0.53390,True
True,0.67990,True,10556,0.97814,-1.12671,0,False,Cufflinks,50,50,0.97764,0.98201,False
True,0.75405,True,10551,0.92205,-1.00073,10,False,Cufflinks,50,50,0.98104,0.68784,False
True,0.67019,True,10606,0.98063,-0.88571,0,False,Cufflinks,50,75,0.98124,0.97899,False
True,0.75045,True,10519,0.92621,-1.04725,10,False,Cufflinks,50,75,0.98289,0.68623,False
True,0.67209,True,10503,0.98072,-2.20078,0,False,Cufflinks,50,100,0.98172,0.98212,False
True,0.72983,True,10623,0.93808,-0.13812,10,False,Cufflinks,50,100,0.98550,0.70709,False
True,0.91881,True,10556,0.98360,-34.22578,0,False,Salmon,50,50,0.96732,0.97232,False
True,0.92939,True,10551,0.89250,-30.91144,10,False,Salmon,50,50,0.98389,0.49795,False
True,0.87422,True,10606,0.98577,-25.73045,0,False,Salmon,50,75,0.97407,0.97163,False
True,0.91862,True,10519,0.88953,-24.69058,10,False,Salmon,50,75,0.98717,0.49206,False
True,0.84871,True,10503,0.98417,-23.77696,0,False,Salmon,50,100,0.97820,0.97430,False
