"","bias","errors","noise_perc","paired_end","read_depth","read_length","stranded","Cufflinks","Express","RSEM","Kallisto","Sailfish","Salmon"
"56","True","True",10,"True",10,100,"True",0.8107,0.69263,0.72905,0.52911,0.53588,0.52836
"57","True","True",10,"True",10,50,"False",0.77642,0.63269,0.64174,0.50307,0.50576,0.4993
"58","True","True",10,"True",10,50,"True",0.79702,0.66588,0.67092,0.50075,0.50643,0.49925
"59","True","True",10,"True",10,75,"False",0.79905,0.6602,0.6822,0.51463,0.52395,0.51496
"60","True","True",10,"True",10,75,"True",0.81225,0.68759,0.71306,0.5295,0.53391,0.52757
"61","True","True",10,"True",30,100,"False",0.79529,0.66479,0.71447,0.52701,0.53916,0.52766
"62","True","True",10,"True",30,100,"True",0.78984,0.66677,0.70373,0.51118,0.51961,0.5128
"63","True","True",10,"True",30,50,"False",0.76549,0.62131,0.64146,0.48928,0.49707,0.48768
"64","True","True",10,"True",30,50,"True",0.77887,0.63754,0.65192,0.49297,0.49892,0.49157
"65","True","True",10,"True",30,75,"False",0.7696,0.62392,0.65482,0.48342,0.49214,0.48224
"66","True","True",10,"True",30,75,"True",0.78141,0.64673,0.67513,0.49623,0.50484,0.49731
"67","True","True",10,"True",50,100,"False",0.7688,0.636,0.68352,0.5032,0.51427,0.50374
"68","True","True",10,"True",50,100,"True",0.78028,0.6541,0.71016,0.49753,0.51192,0.49871
"69","True","True",10,"True",50,50,"False",0.75854,0.61235,0.62803,0.48508,0.48984,0.48205
"70","True","True",10,"True",50,50,"True",0.77166,0.63176,0.65209,0.48053,0.48973,0.47936
"71","True","True",10,"True",50,75,"False",0.75997,0.612,0.64514,0.48348,0.49118,0.48295
"72","True","True",10,"True",50,75,"True",0.78658,0.65069,0.67888,0.49485,0.50132,0.49353
